data,fechamento,abertura,max,min,variacao
2024-09-10,134.32,134.738,134.738,133.754,-0.31
2024-09-11,134.677,134.319,135.087,133.757,0.27
2024-09-12,134.029,134.677,134.777,133.591,-0.48
2024-09-13,134.882,134.031,135.879,134.031,0.64
2024-09-16,135.118,134.885,135.715,134.87,0.18
2024-09-17,134.96,135.118,135.118,134.18,-0.12
2024-09-18,133.748,134.96,135.203,133.748,-0.9
2024-09-19,133.123,133.748,134.759,133.123,-0.47
2024-09-20,131.065,133.121,133.128,130.907,-1.55
2024-09-23,130.568,131.065,131.065,130.1,-0.38
2024-09-24,132.156,130.57,133.073,130.57,1.22
2024-09-25,131.586,132.156,132.982,131.489,-0.43
2024-09-26,133.01,131.595,133.313,131.594,1.08
2024-09-27,132.73,133.01,133.923,132.628,-0.21
2024-09-30,131.816,132.761,133.12,131.816,-0.69
2024-10-01,132.495,131.817,133.405,131.817,0.51
2024-10-02,133.515,132.495,134.922,132.495,0.77
2024-10-03,131.672,133.514,133.514,131.176,-1.38
2024-10-04,131.792,131.672,131.936,131.156,0.09
2024-10-07,132.018,131.792,132.943,131.676,0.17
2024-10-08,131.512,132.016,132.016,130.371,-0.38
2024-10-09,129.962,131.51,131.52,129.719,-1.18
2024-10-10,130.353,129.963,130.418,129.835,0.3
2024-10-11,129.992,130.354,130.354,129.338,-0.28
2024-10-14,131.005,129.992,131.22,129.729,0.78
2024-10-15,131.043,131.005,131.457,130.2,0.03
2024-10-16,131.75,131.045,132.233,130.78,0.54
2024-10-17,130.793,131.716,131.716,129.902,-0.73
2024-10-18,130.499,130.793,131.725,130.121,-0.22
2024-10-21,130.362,130.499,131.124,130.157,-0.11
2024-10-22,129.951,130.346,130.346,129.094,-0.31
2024-10-23,129.233,129.949,129.949,128.589,-0.55
2024-10-24,130.067,129.233,130.13,128.798,0.65
2024-10-25,129.893,130.067,130.529,129.806,-0.13
2024-10-28,131.213,129.894,131.421,129.894,1.02
2024-10-29,130.73,131.214,131.765,130.693,-0.37
2024-10-30,130.639,130.73,131.027,130.473,-0.07
2024-10-31,129.713,130.639,130.798,129.642,-0.71
2024-11-01,128.121,129.718,129.902,128.07,-1.23
2024-11-04,130.515,128.13,130.609,128.128,1.87
2024-11-05,130.661,130.515,130.769,129.692,0.11
2024-11-06,130.341,130.613,130.67,128.822,-0.24
2024-11-07,129.682,130.341,131.319,129.406,-0.51
2024-11-08,127.83,129.647,129.647,126.973,-1.43
2024-11-11,127.874,127.829,128.095,127.306,0.03
2024-11-12,127.698,127.873,128.21,127.411,-0.14
2024-11-13,127.734,127.698,128.1,126.869,0.03
2024-11-14,127.792,127.734,128.423,127.389,0.05
2024-11-18,127.768,127.791,128.277,127.226,-0.02
2024-11-19,128.197,127.768,128.579,127.235,0.34
2024-11-21,126.922,128.197,128.197,126.594,-0.99
